Extracting audio from 'eshg-2025-workshop-mark-kokoris-mc--17411'...
Transcribing audio to text...

[00:00:00.000 --> 00:00:06.920]   Welcome, everybody. So, a couple things. So, we did an introduction back in February, a webinar.
[00:23:54.800 --> 00:24:00.840]   And then evaluating some of the not-difficult regions, the NIST not-difficult regions of the genome,
[00:24:00.840 --> 00:24:07.420]   using similar false positive rates for both SPX and Illumina, as determined by normal-normal analysis.
[00:24:07.420 --> 00:24:15.060]   And so we use 0.08 false positive rate for the SNVs and 0.05 for the indels.
[00:24:15.160 --> 00:24:19.480]   And again, you can see the differences between the two systems, so the two platforms there.
[00:24:19.480 --> 00:24:24.900]   So SPX generally showed about 10% better recall compared to Illumina in this comparison.
[00:24:24.900 --> 00:24:28.020]   So again, first time we've ever done this.
[00:24:28.020 --> 00:24:36.060]   So not like we've run it thousands of times, but we're excited to show, and this will definitely be a focus of additional work as we move through the summer and fall.
[00:24:36.700 --> 00:24:43.080]   Just to get an idea, the allele frequency distributions, they were pretty much overlapping, very similar between both technologies.
[00:24:43.080 --> 00:24:53.380]   So looking at now some of the more challenging regions of the genome, so SMB calling there, reasonable concordance between both SPX and Illumina.
[00:24:53.500 --> 00:25:05.700]   You do see SPX achieving higher sensitivity at the similar false positive rates, again, due to some of the data we showed you before in terms of the lower SMV error rates and the better uniformity in high GC.
[00:25:05.700 --> 00:25:15.900]   So you can look at basically the difference between the blue and the orange here, where SPX only has a much higher amount relative to some of the Illumina.
[00:25:16.940 --> 00:25:23.800]   Okay, similar here with indels, even more dramatic here with indels in terms of the difference between the two platforms.
[00:25:23.800 --> 00:25:31.280]   But overall, you know, pretty concordant, pretty good, and certainly with SPX showing better sensitivity.
[00:25:31.280 --> 00:25:37.680]   So for copy number variants, this is about 10 of the samples shown, so it makes it a little bit noisy here.
[00:25:37.680 --> 00:25:44.940]   So we zoomed in on one copy number variant example from one sample, just to get an idea of the level of concordance there.
[00:25:44.940 --> 00:25:46.900]   But I think pretty good concordance.
[00:25:46.900 --> 00:25:53.060]   We're not trying to say who's right or wrong in either of the discordant, but I think overall, very high level of concordance.
[00:25:53.060 --> 00:26:04.260]   And this is a zoom in on a single sample, again, so you can get an idea of both the arm level and focal event differences between the two technologies and very, very good concordance there as well.
[00:26:04.260 --> 00:26:07.840]   So overall, I think pretty sound, pretty solid data.
[00:26:07.840 --> 00:26:10.740]   So MRD, moving on quickly to MRD.
[00:26:12.360 --> 00:26:16.220]   So we started off with four nanograms of DNA.
[00:26:16.220 --> 00:26:18.040]   These are some samples that we have pretty limited.
[00:26:18.040 --> 00:26:20.100]   We wanted to challenge ourselves here.
[00:26:20.100 --> 00:26:29.240]   Again, SBXD protocol that used linear amplification and just brought it through our standard, you know, SBXD workflow.
[00:26:31.520 --> 00:26:39.500]   And as far as the sample cohort, we use 15 cancer samples at various stages, 15 healthy donors, all four nanograms each for each one of them.
[00:26:39.500 --> 00:26:44.320]   And this is kind of the breakdown of the different samples with tumor fraction there.
[00:26:46.360 --> 00:26:49.220]   Okay, and a little bit about the workflow here.
[00:26:49.220 --> 00:26:57.960]   On the left side, you see that we go from our cell-free DNA to our consensus reads that we talked about before, getting around a SNP accuracy of Q44.
[00:26:57.960 --> 00:27:07.180]   We then do the alignment to reference and do super consensus collapsing to get to a Q46-like level of accuracy.
[00:27:07.420 --> 00:27:14.300]   And then additional read filtering, trimming of the ends just a little bit, and we've got to a Q50-type accuracy.
[00:27:14.300 --> 00:27:18.960]   And from that, we can get this estimated tumor fraction number.
[00:27:18.960 --> 00:27:29.620]   And so with the comparison for all 15 of the samples, we were able to see positive MRD for all 15 of the samples we looked at
[00:27:29.620 --> 00:27:36.000]   and would assess that we were at the 1 to 10 to the minus 6 estimated tumor fraction for these.
[00:27:36.000 --> 00:27:44.220]   And you can get an idea of the breakdown between the tissue, different tissue samples in the stages of the cancer for each of the samples.
[00:27:44.220 --> 00:27:48.640]   But we're really happy to see this, again, first time that we run this type of experiment.
[00:27:48.640 --> 00:27:53.880]   So these are all going to be kind of firsts here, and this will continue, I think, as we get through the year,
[00:27:53.880 --> 00:28:00.760]   as we do more firsts with different applications and expand on this with some of our early access partners.
[00:28:00.760 --> 00:28:04.040]   So pivoting now to SBX Simplex.
[00:28:04.040 --> 00:28:08.260]   So SBX-S, as we call it, are going to be reads less than 500.
[00:28:08.260 --> 00:28:09.820]   It's a little definitional thing here.
[00:28:09.820 --> 00:28:13.500]   SBX-SL are going to be reads that are longer than 500.
[00:28:13.500 --> 00:28:15.880]   We kind of put that as the limiter here.
[00:28:15.880 --> 00:28:21.000]   So we're going to talk a little bit about the both, but I think mostly about the SL applications.
[00:28:21.000 --> 00:28:23.840]   So on the right, it's pretty much as we said.
[00:28:23.840 --> 00:28:25.520]   It's not that duplex read structure.
[00:28:25.520 --> 00:28:30.820]   It's that Simplex, single read through, higher throughput with the potential to do longer reads.
[00:28:30.820 --> 00:28:36.780]   And this is helpful for, say, RNA isoform analysis, which is something that we're not going to talk about here.
[00:28:36.780 --> 00:28:40.400]   We did last time Aziz Alkafaji talked about it at AGBT.
[00:28:40.540 --> 00:28:44.120]   And I'm sure in the coming months we'll talk a lot more about some of that work.
[00:28:44.120 --> 00:28:52.560]   But you can imagine doing probe-based, like 10xFlex applications for this approach, as well as some of the RNA isoform stuff.
[00:28:52.560 --> 00:28:57.900]   And so I'll just show a summary here of kind of a throughput summary that I showed before on the left.
[00:28:58.260 --> 00:29:05.740]   You get an idea of the output of 10xFlex reads in a one-hour sequencing run of about 14 billion reads.
[00:29:05.740 --> 00:29:14.060]   And that's 14 billion reads that are what we call CellRanger valid reads, which are valid barcode, high-confidence maps.
[00:29:14.180 --> 00:29:20.440]   So it was actually over 20 billion reads total, but we're really strict on how many we actually brought into CellRanger.
[00:29:20.440 --> 00:29:24.220]   And so about 14 billion reads in one hour of sequencing.
[00:29:24.220 --> 00:29:27.820]   On the right is a 10x5' mRNA run.
[00:29:27.820 --> 00:29:37.740]   You get the extreme other side of the equation here, where you look at, for all reads, about 4 billion in an hour, 500 base pair average read length.
[00:29:37.740 --> 00:29:44.260]   So you can get the idea of where we're going in terms, directionally, in terms of the length and yield for the longer read side.
[00:29:44.260 --> 00:29:46.540]   And this has actually improved quite a bit since then.
[00:29:46.540 --> 00:29:53.580]   Okay, so that's all I'll cover on RNA, but we're actually going to go do a lot more in the coming months on the RNA applications.
[00:29:53.580 --> 00:30:01.120]   So, but expanding on the simplex side for phasing, for genomic DNA phasing applications,
[00:30:01.120 --> 00:30:03.580]   was something that we were interested in doing for a long time.
[00:30:03.680 --> 00:30:08.300]   Now we're taking this as an opportunity to kind of keep pushing on that workflow.
[00:30:08.300 --> 00:30:09.700]   Looks pretty similar.
[00:30:09.700 --> 00:30:12.900]   Y adapter ligation, pretty straightforward.
[00:30:12.900 --> 00:30:20.460]   But now using the linear amplification, which, again, has the advantage of being able to drop straight in to expandimer synthesis.
[00:30:20.460 --> 00:30:21.960]   It's already strand enriched.
[00:30:21.960 --> 00:30:26.740]   That's our first step in library prep, or last step in library preparation, is that strand enrichment.
[00:30:26.740 --> 00:30:30.000]   These can drop straight in to SBX directly.
[00:30:30.780 --> 00:30:34.920]   Very good quality, again, homopolymer advantage there as well.
[00:30:34.920 --> 00:30:37.840]   So, this is the workflow we've been working on.
[00:30:37.840 --> 00:30:42.060]   Let's get through these, sorry.
[00:30:42.060 --> 00:30:47.740]   Okay, on the left, when we're thinking about variable number tandem repeats of variant culling,
[00:30:47.740 --> 00:30:49.180]   on the left kind of tells the picture.
[00:30:49.180 --> 00:30:56.720]   If you're expanding to VNTRs of 200 or 800 in length, obviously they're just not going to be captured,
[00:30:56.720 --> 00:30:58.280]   not going to be able to resolve those.
[00:30:58.660 --> 00:31:03.100]   On the right, it gives you an idea of what you can do with 1,000 more SBX reads,
[00:31:03.100 --> 00:31:07.960]   especially if you can get a billion of them in one hour of sequencing at 1,000 base length,
[00:31:07.960 --> 00:31:11.880]   and the proportion of VNTRs that you can actually detect there.
[00:31:11.880 --> 00:31:19.800]   And this is a specific result from HG002, genotyping concordance, kind of benchmarking run.
[00:31:19.800 --> 00:31:22.020]   On the right, it actually gives the numbers that we got.
[00:31:22.140 --> 00:31:27.480]   Again, this is a one-hour sequencing run, billion reads, average read length almost 1,000,
[00:31:27.480 --> 00:31:32.380]   so almost a terabase of sequence of just those length in one hour sequencing.
[00:31:32.380 --> 00:31:33.900]   So, there's a lot of power there.
[00:31:33.900 --> 00:31:38.500]   Obviously, we're going to keep pushing the length up beyond the 1,000, go to 1,500,
[00:31:38.500 --> 00:31:42.140]   be able to get better phasing as you get longer.
[00:31:42.500 --> 00:31:45.600]   But this is all pretty new stuff that we've just only started working on.
[00:31:45.600 --> 00:31:51.480]   On the left, you can get the idea of the alleles that cannot be phased with shorter read,
[00:31:51.480 --> 00:31:54.760]   and that's SBXD, that's Lumina, that's any of the shorter read approaches.
[00:31:54.760 --> 00:31:58.500]   You wouldn't be able to phase those various alleles shown there.
[00:31:58.760 --> 00:32:05.280]   But on the right, you see SBXSL that would be able to, the C and the T alleles would be detected in phase
[00:32:05.280 --> 00:32:07.300]   while the G allele is out of phase.
[00:32:07.300 --> 00:32:09.760]   So, it just kind of frames the picture there.
[00:32:09.760 --> 00:32:18.060]   Again, another way of looking at it, in terms of F1 score, the dark green being the 800 base and greater reads,
[00:32:18.060 --> 00:32:24.820]   what that looks like across the maximum distance between consecutive HET variant number there.
[00:32:24.820 --> 00:32:31.900]   So, quite a dramatic difference between the SBXSL and what would be the shorter SBXD reads
[00:32:31.900 --> 00:32:35.120]   or Lumina or any other technologies on the shorter read side.
[00:32:35.120 --> 00:32:42.140]   Okay, and this is just one last thing on this, which was a pathogenic compound heterozygous variant
[00:32:42.140 --> 00:32:48.300]   from a sample that was affected with hyperphenylalanemia, easier to say.
[00:32:49.800 --> 00:32:56.340]   And we were able to correctly detect with SBXSL, but not with Lumina or SBXD, for that matter,
[00:32:56.340 --> 00:33:01.220]   be able to actually correct this heterozygous variant in this particular sample.
[00:33:01.220 --> 00:33:07.620]   Again, similar read throughput here, billion reads in one hour of sequencing.
[00:33:08.880 --> 00:33:11.340]   Okay, so, summary, really quick.
[00:33:11.340 --> 00:33:13.400]   So, we covered the SBXFAST.
[00:33:13.400 --> 00:33:17.420]   We're now sub-five hours from sample all the way through sequencing.
[00:33:17.420 --> 00:33:26.260]   We've now started to work through FFPE, MRD workflows, and are expanding our work on longer reads, simplex,
[00:33:26.260 --> 00:33:27.960]   and we'll continue to do all of these.
[00:33:27.960 --> 00:33:32.220]   A lot of these are firsts, which is why it's exciting to come and talk about this stuff.
[00:33:32.220 --> 00:33:33.840]   And Jagdish is right back there.
[00:33:33.840 --> 00:33:35.120]   His team, he's smiling.
[00:33:35.120 --> 00:33:35.900]   He's the guy right there.
[00:33:35.900 --> 00:33:36.480]   Yeah?
[00:33:36.480 --> 00:33:37.800]   Yeah, wave your hand, Jagdish.
[00:33:37.880 --> 00:33:38.160]   It's okay.
[00:33:38.160 --> 00:33:38.800]   Yeah, there you go.
[00:33:38.800 --> 00:33:43.780]   Anyway, his team's doing a lot of the work on the chemistry side to pull all this stuff together.
[00:33:43.780 --> 00:33:51.420]   And it's, you know, I think throughout the year, we're going to continue to do a lot more of these kind of application developments.
[00:33:51.420 --> 00:33:59.080]   So, in terms of the future, there are more buttons to push on the technology than we can actually push at any given time to optimize the measurement.
[00:33:59.080 --> 00:34:01.060]   So, there's a lot to do.
[00:34:01.060 --> 00:34:05.520]   We will continue to relentlessly do that into the future.
[00:34:05.520 --> 00:34:08.040]   That's the nature of this approach.
[00:34:08.040 --> 00:34:12.740]   This technology is still very early in our understanding of how to utilize SBX.
[00:34:12.740 --> 00:34:24.920]   And so, we'll continue to hit on all of these fundamental optimizations here as we embark on the next step of SBX as we get towards launching in 26.
[00:34:25.980 --> 00:34:27.020]   So, a lot of things there.
[00:34:27.020 --> 00:34:40.420]   And I know this will probably could come up in some of the questions, but next steps for us, we'll be showing target enrichment, some methylation work, and a range of other different application areas that are very interesting to us.
[00:34:40.540 --> 00:34:44.780]   So, continuing to work on this, and excited for the next steps.
[00:34:44.780 --> 00:34:46.440]   And I thank you.
[00:34:46.440 --> 00:34:47.540]   Thank you.
[00:34:47.540 --> 00:34:48.120]   Thank you.
Transcription complete. Output saved to 'eshg-2025-workshop-mark-kokoris-mc--17411.txt'
Removing intermediate audio file...
Done.
